Title,URL,Image_URL,Synopsis,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
ef: A Tale of Melodies.,https://myanimelist.net/anime/4789/ef__A_Tale_of_Melodies,https://cdn.myanimelist.net/images/anime/1675/131993.jpg,"In a story set years in the past, Himura Yuu is a studious and diligent young man intent solely on maintaining his top academic position at Otowa Academy. One day, he meets a mysterious girl named Amamiya Yuuko, who, to his surprise, recognizes him. Memories of a distant childhood, memories rather left forgotten... meeting Yuuko again will force Yuu to confront the regrets and sorrows of their collective pasts and presents. In the present, Kuze Shuuichi may seem like a womanizer, but upon closer inspection, is a man who would rather be left alone. Hayama Mizuki, however, is not the type of girl who would let him be, especially after hearing the beautiful sounds of his violin performance. As Mizuki attempts to become closer to him, Kuze attempts to push her away—the tale of their budding relationship is darkened with undertones of an imminent tragedy. [Written by MAL Rewrite]",TV,12,Finished Airing,"Oct 7, 2008 to Dec 23, 2008",Fall 2008,Tuesdays at 01:15 (JST),"ASCII Media Works, Geneon Entertainment",Sentai Filmworks,Shaft,Visual novel,"Drama, Mystery, Romance, Supernatural",,24 min. per ep.,PG-13 - Teens 13 or older,8.0,7512.0,#1617,"171,409","1,717"
Evangelion Movie 1: Jo,https://myanimelist.net/anime/2759/Evangelion_Movie_1__Jo,https://cdn.myanimelist.net/images/anime/7/74975.jpg,"In a post-apocalyptic world, the last remaining human settlement in Japan is the heavily fortified city of Tokyo-3. Fourteen-year-old Shinji Ikari is brought to the headquarters of NERV, an underground organization lead by his estranged father, Gendou. He requests that Shinji become a pilot of an ""Evangelion,"" a colossal android built to fight against monstrous and destructive alien creatures known as ""Angels"" that wreak havoc on the planet and threaten the survival of the remaining human race. Although initially reluctant, Shinji is swayed by the idea of reconciling with his father, and agrees to aid in mankind's perilous endeavor against its alien threat, as the pilot of Evangelion Unit-01. Thrust into the midst of a dangerous battlefield, Shinji must find the necessary courage and resolve to face against the Angels' incursions before it is too late. [Written by MAL Rewrite]",Movie,1,Finished Airing,"Sep 1, 2007",,,,"Funimation, GKIDS",Khara,Original,"Award Winning, Drama, Sci-Fi, Suspense",,1 hr. 41 min.,R+ - Mild Nudity,8.0,7522.0,#402,"620,040","2,109"
Fullmetal Alchemist: Brotherhood Specials,https://myanimelist.net/anime/6421/Fullmetal_Alchemist__Brotherhood_Specials,https://cdn.myanimelist.net/images/anime/1493/91571.jpg,1. Moumoku no Renkinjutsushi (The Blind Alchemist) 2. Simple na Hitobito (Simple People) 3. Sensei Monogatari (The Tale of Teacher) 4. Sore mo mata Kare no Senjou (Yet Another Man's Battlefield),Special,4,Finished Airing,"Aug 26, 2009 to Aug 25, 2010",,,"Aniplex, Square Enix","Funimation, Aniplex of America",Bones,Manga,"Action, Adventure, Drama, Fantasy",Shounen,15 min. per ep.,PG-13 - Teens 13 or older,8.0,7532.0,#1630,"169,510",213
Girls & Panzer: Saishuushou Part 1,https://myanimelist.net/anime/33970/Girls___Panzer__Saishuushou_Part_1,https://cdn.myanimelist.net/images/anime/1859/91463.jpg,"Rumor has it that Momo Kawashima, former student council member at Ooarai Girls Academy, is bound to repeat a year. Having failed her university entry exams, she is far from spending another year at Ooarai, but her plight is unenviable nevertheless. The only way for her to gain admission into a university is to be granted an athletic scholarship. With the Winter Continuous Track Cup rapidly approaching, Momo becomes the commander of Ooarai's tankery team, so as to demonstrate her sport skills and wipe away the stain on her honor. Their first opponent—French-themed BC Freedom High School—is split into two factions that are constantly at odds with each other. Despite this seemingly fortuitous match against a disorganized rival, Ooarai might soon find itself taking one step too far. [Written by MAL Rewrite]",Movie,1,Finished Airing,"Dec 9, 2017",,,"Bandai Visual, Lantis, Movic, Q-Tec, Hakuhodo DY Music & Pictures",Sentai Filmworks,Actas,Original,,,47 min.,PG-13 - Teens 13 or older,8.0,7542.0,#3286,"59,329",149
Hidamari Sketch x Honeycomb,https://myanimelist.net/anime/11239/Hidamari_Sketch_x_Honeycomb,https://cdn.myanimelist.net/images/anime/2/50501.jpg,"Studying at the Yamabuki Arts High School has been a dream-come-true for Yuno, and she's learned so much already! And not just from her instructors, but from her friends and neighbors who've become her second family and made the Hidamari Apartments such a safe and nurturing home. But as the day of her ""big sisters"" Sae and Hiro's graduation draws slowly closer, it's time for Yuno to start seriously taking on the same role for Nazuna, Nori and the other budding young artists who've entered Hidamari's protective cocoon. And it's also time to tackle some really challenging artistic assignments. That doesn't mean there won't still be time for fun with Miyako and all the others, but it's definitely time to pencil in her plans for the future. And sometimes that means you have to put the art before the course! (Source: Sentai Filmworks)",TV,12,Finished Airing,"Oct 5, 2012 to Dec 21, 2012",Fall 2012,Fridays at 01:25 (JST),"Aniplex, Lantis, TBS, Movic, Houbunsha, Grooove",Sentai Filmworks,Shaft,4-koma manga,,,24 min. per ep.,PG-13 - Teens 13 or older,8.0,7552.0,#4826,"28,080",184
Ie Naki Ko,https://myanimelist.net/anime/2828/Ie_Naki_Ko,https://cdn.myanimelist.net/images/anime/9/76757.jpg,"Remi is a boy living happily with his mother in the French countryside. But everything changes when his estranged father comes home and, in desperate need of money, reveals that Remi is adopted, and sells him. Heartbroken, Remi ends up with Vitalis, a traveling musician, and his troupe of animal entertainers. Together, they travel the country in search for Remi's real parents, along the way learning the harsh lessons of life. A deeply moving story about friendship, loss and the pursuit of happiness. (Source: AniDB)",TV,51,Finished Airing,"Oct 2, 1977 to Oct 1, 1978",Fall 1977,,,"AnimEigo, ImaginAsian Entertainment","Madhouse, TMS Entertainment",Novel,"Adventure, Drama",Kids,24 min. per ep.,G - All Ages,8.0,7562.0,#5534,"20,051",355
Kara no Kyoukai Movie: Mirai Fukuin,https://myanimelist.net/anime/14807/Kara_no_Kyoukai_Movie__Mirai_Fukuin,https://cdn.myanimelist.net/images/anime/6/56621.jpg,"​Shiki Ryougi, Mikiya Kokutou, and Touko Aozaki begin investigating a bomber after they witness a nearby explosion. That same night, Shiki catches a glimpse of the bomber, and as a result, he becomes fixated on her. To get rid of her, the madman plays a game of cat and mouse in attempts to lure her to an empty parking garage. And bombs are not the only thing he has in his arsenal: he also possesses the ability to see the future, and he intends to bring an end to Shiki. Elsewhere a few days prior, a student at Reien Girls' Academy, Shizune Seo, plans to head home for the summer. However, while exiting a bus, she has a vision of the future involving a nearby stranger's death. While trying to warn the stranger, she meets Mikiya—who succeeds in utilizing Shizune's information effectively. Subsequently, an employee is sent on a job with his employer's 10-year-old daughter in tow. However, the subject of his investigation turns out to be a ghost from both of their pasts. Mirai Fukuin tells the stories set during the main timeline of the Kara no Kyoukai films, as well as one set in the future. [Written by MAL Rewrite]",Movie,1,Finished Airing,"Sep 28, 2013",,,"Aniplex, Kodansha, Seikaisha, Notes",Aniplex of America,ufotable,Light novel,"Drama, Mystery, Supernatural",,1 hr. 30 min.,R - 17+ (violence & profanity),8.0,7572.0,#2033,"126,749",284
Kidou Senshi Gundam Thunderbolt: December Sky,https://myanimelist.net/anime/33221/Kidou_Senshi_Gundam_Thunderbolt__December_Sky,https://cdn.myanimelist.net/images/anime/2/79823.jpg,"Federation troops and Zeon forces carry out a fierce battle in the Thunderbolt Sector in what was once Side 4 ""Moore."" The Thunderbolt Sector is a shoal zone composed of the debris of destroyed space colonies, named for the electrical discharges from the metal debris. MS pilot Io Flemming is among the Federation soldiers who are dispatched to the area, where Zeon sniper Daryl Lorenz awaits them on the battlefield. (Source: Gundam Wikia)",Movie,1,Finished Airing,"Jun 25, 2016",,,,NYAV Post,Sunrise,Manga,"Drama, Sci-Fi",Seinen,1 hr. 9 min.,R - 17+ (violence & profanity),8.0,7582.0,#4744,"29,245",222
Quanzhi Gaoshou: Dianfeng Rongyao,https://myanimelist.net/anime/40080/Quanzhi_Gaoshou__Dianfeng_Rongyao,https://cdn.myanimelist.net/images/anime/1960/102480.jpg,"Two years ago, Glory started out as just another MMORPG, but its real-world influence has grown as more countries begin to recognize esports as an official sport. Now, in China, arrangements are being made to hold the first professional league of Glory, culminating in the Glory Championship. Friends Ye Qiu and Su Muqiu both aspire to make a career out of esports. However, due to personal reasons, Ye Qiu has been hesitant until now to chase his dream onto the national stage. When the two boys finally agree to form their own team, they are supported by Tao Xuan, their boss and the owner of Excellent Era internet cafe, after which they name their team. And so, Team Excellent Era sets their sights on defeating all opponents who stand in their way of reaching the ultimate summit of Glory. [Written by MAL Rewrite]",Movie,1,Finished Airing,"Aug 16, 2019",,,"bilibili, China Literature Limited, Colored Pencil Animation Japan",,Colored Pencil Animation,Web novel,,,1 hr. 38 min.,PG-13 - Teens 13 or older,8.0,7592.0,#3352,"57,109",141
SK∞,https://myanimelist.net/anime/42923/SK∞,https://cdn.myanimelist.net/images/anime/1549/119195.jpg,"High school student Reki Kyan is passionate about one thing: skateboarding. When night falls, he heads to ""S,"" an illegal underground race inside a mine where skaters compete in highly dangerous situations. After a loss that results in his skateboard being destroyed and his arm being broken, Reki is now incapable of practicing at all. While working, Reki runs into his new classmate, Langa Hasegawa, a half-Canadian and half-Japanese boy with no skateboarding experience whatsoever. Langa is in desperate need of money. After they both visit ""S"" when tasked by Reki's boss, they get into trouble and are forced into a bet that requires Langa to skate in a race. However, the mysterious transfer student holds a trump card that Reki is unaware of, one which might help him win the race in the most unexpected way. [Written by MAL Rewrite]",TV,12,Finished Airing,"Jan 10, 2021 to Apr 4, 2021",Winter 2021,Sundays at 02:00 (JST),"Aniplex, Movic, ABC Animation",Aniplex of America,Bones,Original,,,23 min. per ep.,PG-13 - Teens 13 or older,8.0,7602.0,#393,"633,561","13,841"
Tokyo Magnitude 8.0,https://myanimelist.net/anime/6211/Tokyo_Magnitude_80,https://cdn.myanimelist.net/images/anime/1653/152734.jpg,"Middle school student Mirai Onozawa is dissatisfied with her family circumstances and, in a moment of frustration, wishes to tear everything apart. Unfortunately, these destructive thoughts seem to come true in the form of a magnitude 8.0 earthquake just a few moments later. When summer vacation begins, Mirai reluctantly takes her younger brother Yuuki to Odaiba, where a robot exhibition that he wanted to go to is being held. However, while they are in the exhibition center, the fury of a major earthquake shakes the Kanto region; helpless, both kids witness the devastating power of this natural disaster as it brings the city to its knees. In its aftermath, they stumble upon Mari Kusakabe, a motorcyclist and single mother who decides to help the young siblings. Aiming to return to their homes and reunite with their families, the group sets off on a long and hard journey through the decimated city. [Written by MAL Rewrite]",TV,11,Finished Airing,"Jul 10, 2009 to Sep 18, 2009",Summer 2009,Fridays at 00:45 (JST),"Dentsu, Fuji TV, Asmik Ace, Sony Music Entertainment, Sakura Create, Aquatone, Sony Music Publishing",Maiden Japan,"Bones, Kinema Citrus",Original,"Award Winning, Drama",,22 min. per ep.,PG-13 - Teens 13 or older,8.0,7612.0,#899,"314,996","1,819"
Tsumiki no Ie,https://myanimelist.net/anime/5365/Tsumiki_no_Ie,https://cdn.myanimelist.net/images/anime/1063/117013.jpg,"In a flooded town where the waters are ever-rising, an old man must constantly build new floors onto his home in order to keep dry. But when his favorite smoking pipe falls into the watery abyss beneath him, he dives into the depths of not only his house, but memories of years past. Tsumiki no Ie is a short film about the everlasting effect of time on one's life—how it can swallow the past entirely, and how one must learn to continue moving forward despite what has already happened. [Written by MAL Rewrite]",Movie,1,Finished Airing,"Jun 10, 2008",,,Robot Communications,,Oh! Production,Original,"Award Winning, Drama",,12 min.,G - All Ages,8.0,7622.0,#2384,"101,952",476
Tunshi Xingkong,https://myanimelist.net/anime/44218/Tunshi_Xingkong,https://cdn.myanimelist.net/images/anime/1094/153667.jpg,"One day, an unknown RR virus appeared on earth, and the world fell into disaster. Infected animals mutate into frightening and massively attacking monsters. When humans face destruction, they build walls and build base cities as the last bastion of man. The trials experienced by mankind during this period of time are called the ""Period of Nirvana."" In extreme living environments, human power is also gradually advancing and evolving, and martial arts are emerging, and human power is qualitatively increasing compared to before. And the best of them is called the Warriors. Luo Feng, 18, also aspires to be one of them. Currently, he will take the college entrance exam and face a choice at a crossroads in his life, but suddenly a monster attack affects the trajectory of his life. Under the threat of powerful monsters, the inhabitants of the city are in danger, but the military is powerless. Only one soldier stood up and maintained the security of the base city. Luo Feng is infected by a warrior force, and secretly he decides to become a fighter to protect his loved ones. This is the beginning of everything, the starting point of Luo Feng's journey as a martial artist, and also the beginning of his legendary life. Luo Feng aspires to be a martial artist, but the road ahead is not smooth. The first thing he has to deal with is the influence of the outside environment that is not visible to him. Luo Feng's family's condition was alarming and life was difficult, his parents could not provide more help and could only rely on his own efforts. Ultimately, under constant hard work, Luo Feng continues to explore his own potential and is recognized by his increased abilities and self-improvement. Not only that, Luo Feng not only shouldered the burden of supporting the family, but also joined other justice fighters to face evil monsters to protect the homeland of mankind and for the better survival and development of mankind. In a desperate doomsday situation, can Luo Feng and the other soldiers drive away the monsters and successfully protect the human world? (Source: Animexin)",ONA,26,Finished Airing,"Nov 29, 2020 to May 16, 2021",,,"Tencent Animation & Comics, Tencent Video",,Sparkly Key Animation Studio,Web novel,"Action, Adventure, Fantasy, Sci-Fi",,21 min. per ep.,PG-13 - Teens 13 or older,8.0,7632.0,#6581,"12,878",194
Wolf's Rain OVA,https://myanimelist.net/anime/1023/Wolfs_Rain_OVA,https://cdn.myanimelist.net/images/anime/1091/134883.jpg,"As the world accelerates toward its own destruction, Kiba and Cheza—with the help of Tsume, Hige, Toboe, and Blue—race to reach true paradise before the entire world is rendered uninhabitable. Now reunited, Cher and Hubb decide to accompany the wolves in hopes of seeing the journey through to its end, while a distraught and confused Quent wanders aimlessly into the wasteland with his mind fixated on revenge. Meanwhile, Lord Darcia the Third has finally put his plot into motion and pursues Cheza, pitting him against the pack. As everything falls apart yet simultaneously falls into place, the wolves struggle to survive in an increasingly dangerous environment. Though the end draws near, paradise seems further away than ever before. [Written by MAL Rewrite]",OVA,4,Finished Airing,"Jan 23, 2004 to Feb 25, 2004",,,"Bandai Visual, Victor Entertainment, Asatsu DK","Funimation, Bandai Entertainment",Bones,Original,"Action, Adventure, Drama, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,8.0,7642.0,#2824,"77,467",425
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru,https://cdn.myanimelist.net/images/anime/1786/120117.jpg,"Hachiman Hikigaya is an apathetic high school student with narcissistic and semi-nihilistic tendencies. He firmly believes that joyful youth is nothing but a farce, and everyone who says otherwise is just lying to themselves. In a novel punishment for writing an essay mocking modern social relationships, Hachiman's teacher forces him to join the Volunteer Service Club, a club that aims to extend a helping hand to any student who seeks their support in achieving their goals. With the only other club member being the beautiful ice queen Yukino Yukinoshita, Hachiman finds himself on the front line of other people's problems—a place he never dreamed he would be. As Hachiman and Yukino use their wits to solve many students' problems, will Hachiman's rotten view of society prove to be a hindrance or a tool he can use to his advantage? [Written by MAL Rewrite]",TV,13,Finished Airing,"Apr 5, 2013 to Jun 28, 2013",Spring 2013,Fridays at 01:28 (JST),"Geneon Universal Entertainment, TBS, Delfi Sound, Marvelous AQL, Atelier Musa",Sentai Filmworks,Brain's Base,Light novel,"Comedy, Romance",,24 min. per ep.,PG-13 - Teens 13 or older,8.0,7652.0,#85,"1,571,860","30,825"
BanG Dream! Movie: Poppin' Dream!,https://myanimelist.net/anime/41782/BanG_Dream_Movie__Poppin_Dream,https://cdn.myanimelist.net/images/anime/1856/119931.jpg,"""Bands... are always making me dream."" Poppin'Party, Roselia, and RAISE A SUILEN's successful concert at the Budokan has passed. Kasumi and the others, who have left a lingering sound on the stage of their dreams, are approached by a mysterious woman. Their next stage is overseas?! Poppin'Party's music isn't stopping yet! (Source: BanG Dream! Wiki)",Movie,1,Finished Airing,"Jan 1, 2022",,,,,SANZIGEN,Mixed media,,,1 hr. 10 min.,PG-13 - Teens 13 or older,7.99,7662.0,#6384,"13,863",79
Bleach,https://myanimelist.net/anime/269/Bleach,https://cdn.myanimelist.net/images/anime/1541/147774.jpg,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, who gets injured while protecting Ichigo's family from the assailant. To save his family, Ichigo accepts Rukia's offer of taking her powers and becomes a Soul Reaper as a result. However, as Rukia is unable to regain her powers, Ichigo is given the daunting task of hunting down the Hollows that plague their town. However, he is not alone in his fight, as he is later joined by his friends—classmates Orihime Inoue, Yasutora Sado, and Uryuu Ishida—who each have their own unique abilities. As Ichigo and his comrades get used to their new duties and support each other on and off the battlefield, the young Soul Reaper soon learns that the Hollows are not the only real threat to the human world. [Written by MAL Rewrite]",TV,366,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",Fall 2004,Tuesdays at 18:00 (JST),"TV Tokyo, Aniplex, Dentsu, TV Tokyo Music",VIZ Media,Studio Pierrot,Manga,"Action, Adventure, Supernatural",Shounen,24 min. per ep.,PG-13 - Teens 13 or older,7.99,7672.0,#34,"2,212,569","84,012"
Clannad,https://myanimelist.net/anime/2167/Clannad,https://cdn.myanimelist.net/images/anime/1804/95033.jpg,"Tomoya Okazaki is a delinquent who finds life dull and believes he'll never amount to anything. Along with his friend Youhei Sunohara, he skips school and plans to waste his high school days away. One day while walking to school, Tomoya passes a young girl muttering quietly to herself. Without warning she exclaims ""Anpan!"" (a popular Japanese food) which catches Tomoya's attention. He soon discovers the girl's name is Nagisa Furukawa and that she exclaims things she likes in order to motivate herself. Nagisa claims they are now friends, but Tomoya walks away passing the encounter off as nothing. However, Tomoya finds he is noticing Nagisa more and more around school. Eventually he concedes and befriends her. Tomoya learns Nagisa has been held back a year due to a severe illness and that her dream is to revive the school's drama club. Claiming he has nothing better to do, he decides to help her achieve this goal along with the help of four other girls. As Tomoya spends more time with the girls, he learns more about them and their problems. As he attempts to help each girl overcome her respective obstacle, he begins to realize life isn't as dull as he once thought. [Written by MAL Rewrite]",TV,23,Finished Airing,"Oct 5, 2007 to Mar 28, 2008",Fall 2007,Fridays at 01:55 (JST),"Pony Canyon, TBS, Movic, Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,"Drama, Romance",,24 min. per ep.,PG-13 - Teens 13 or older,7.99,7682.0,#95,"1,513,163","28,739"
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,https://myanimelist.net/anime/2450/Crayon_Shin-chan_Movie_09__Arashi_wo_Yobu_Mouretsu_Otona_Teikoku_no_Gyakushuu,https://cdn.myanimelist.net/images/anime/1824/94859.jpg,"Adult people all over Japan had been captivated by 20th Century Expo, theme parks that reenacted good old days of the 1970s (the last days of Japan's high economic growth). One day the adults disappeared into the theme parks, leaving their children abandoned. That was a plot by ""Yesterday Once More,"" an organization who despises the 21st century and tries to bring Japan back to the 20th century with the dreams and hopes. Shinnosuke and his parents, Hiroshi and Misae, fight against the plot of ""Yesterday Once More"" in order to live together with family in the 21st century. (Source: Manabu Tsuribe)",Movie,1,Finished Airing,"Apr 21, 2001",,,"TV Asahi, Asatsu DK",,Shin-Ei Animation,Manga,"Comedy, Sci-Fi",Seinen,1 hr. 29 min.,G - All Ages,7.99,7692.0,#6401,"13,779",132
Eve no Jikan,https://myanimelist.net/anime/3167/Eve_no_Jikan,https://cdn.myanimelist.net/images/anime/13/19480.jpg,"In future Japan, in a time when android housekeepers have become commonplace, society strictly abides by the Three Laws of Robotics, which all androids must follow. Under the influence of the Robot Ethics Committee, androids are treated the same way as lesser technology, such as household appliances. However, a minority with an adoration for androids exists, categorized as ""android-holics,"" and are shunned by the general public. Rikuo Sakisaka was raised to accept society's precept about androids, and is perfectly aware that they are not human. That is, until the day he discovers a strange message buried within the activity logs of his household android, Sammy. This leads him to Eve no Jikan, a cafe with only one rule that its patrons must adhere to: there must be no distinction made between humans and androids. Curiosity drives Rikuo to learn more about the shop, and he attempts to unearth the reason behind Sammy's peculiar behavior. [Written by MAL Rewrite]",ONA,6,Finished Airing,"Aug 1, 2008 to Sep 18, 2009",,,"Directions, Code, Trick Block",AnimEigo,Studio Rikka,Original,"Sci-Fi, Slice of Life",,18 min. per ep.,PG-13 - Teens 13 or older,7.99,7702.0,#1424,"196,724","1,255"
Ginga Tokkyuu Milky☆Subway,https://myanimelist.net/anime/61274/Ginga_Tokkyuu_Milky☆Subway,https://cdn.myanimelist.net/images/anime/1464/150712.jpg,"Arrested for reckless space driving, super human Chiharu and cyborg Makina are sentenced to clean the Milky☆Subway—an old interplanetary train. Easy enough, right? Wrong. When the train suddenly takes off, they are thrown into a high-speed space-train spectacle packed with chaos, no plans, and zero strategy. Just pure momentum! (Source: Official website, translated)",TV,12,Finished Airing,"Jul 3, 2025 to Sep 18, 2025",Summer 2025,Thursdays at 21:54 (JST),"Bit grooove promotion, YURUPPE Inc.",,Shin-Ei Animation,Original,"Comedy, Sci-Fi",,3 min. per ep.,PG-13 - Teens 13 or older,7.99,7712.0,#5501,"20,294",92
Hachimitsu to Clover,https://myanimelist.net/anime/16/Hachimitsu_to_Clover,https://cdn.myanimelist.net/images/anime/1301/133577.jpg,"Yuuta Takemoto, a sophomore at an arts college, shares a cheap apartment with two seniors—the eccentric Shinobu Morita, who keeps failing to graduate due to his absenteeism, and the sensible Takumi Mayama, who acts as a proper senior to Takemoto, often looking out for him. Takemoto had not given much thought to his future until one fine spring day, when he meets the endearing Hagumi Hanamoto and falls in love at first sight. Incredibly gifted in the arts, Hagumi enrolls in Takemoto's university and soon befriends the popular pottery student Ayumi Yamada. Ayumi is already well acquainted with the three flatmates and secretly harbors deep feelings for one of them. Hachimitsu to Clover is a heartwarming tale of youth, love, soul-searching, and self-discovery, intricately woven through the complex relationships between five dear friends. [Written by MAL Rewrite]",TV,24,Finished Airing,"Apr 15, 2005 to Sep 27, 2005",Spring 2005,Fridays at 00:35 (JST),"Aniplex, Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha","VIZ Media, Discotek Media",J.C.Staff,Manga,"Comedy, Drama, Romance",Josei,23 min. per ep.,PG-13 - Teens 13 or older,7.99,7722.0,#986,"286,079","4,207"
Hokuto no Ken,https://myanimelist.net/anime/967/Hokuto_no_Ken,https://cdn.myanimelist.net/images/anime/8/18502.jpg,"In the year 19XX, after being betrayed and left for dead, bravehearted warrior Kenshirou wanders a post-apocalyptic wasteland on a quest to track down his rival, Shin, who has kidnapped his beloved fiancée Yuria. During his journey, Kenshirou makes use of his deadly fighting form, Hokuto Shinken, to defend the helpless from bloodthirsty ravagers. It is not long before his exploits begin to attract the attention of greater enemies, like warlords and rival martial artists, and Kenshirou finds himself involved with more than he originally bargained for. Faced with ever-increasing odds, the successor of Hokuto Shinken is forced to put his skills to the test in an effort to take back what he cares for most. And as these new challenges present themselves and the battle against injustice intensifies, namely his conflict with Shin and the rest of the Nanto Seiken school of martial arts, Kenshirou is gradually transformed into the savior of an irradiated and violent world. [Written by MAL Rewrite]",TV,109,Finished Airing,"Oct 11, 1984 to Mar 5, 1987",Fall 1984,Thursdays at 19:00 (JST),Fuji TV,"Discotek Media, Manga Entertainment",Toei Animation,Manga,"Action, Drama, Sci-Fi",Shounen,25 min. per ep.,R+ - Mild Nudity,7.99,7732.0,#1839,"144,182","2,452"
Kaichou wa Maid-sama!,https://myanimelist.net/anime/7054/Kaichou_wa_Maid-sama,https://cdn.myanimelist.net/images/anime/6/25254.jpg,"Misaki Ayuzawa is a unique phenomenon within Seika High School. In a predominantly male institution, she became the first-ever female student council president through her honesty and diligence. Ever since Misaki got promoted to the position, she has been working tirelessly to ensure a better school life for all girls. Despite that, Misaki is very strict with the boys, which has earned her the title ""Demon President."" One day, after hearing a girl cry in the hallway, Misaki encounters Takumi Usui—the most popular boy in the school—as he rejects a love confession. Enraged at what she is seeing, Misaki reprimands him for making the girl cry. However, Usui is indifferent and brushes it off as nothing. Unexpectedly, Misaki soon runs into Usui again, but this time when she is working at a maid cafe! Embarrassed that someone has found out about her secret occupation, Misaki promises herself not to let Usui destroy her reputation. However, the mysterious boy now begins to visit the same cafe regularly to observe and tease Misaki. When push comes to shove, will Usui still be able to keep the president's secret? [Written by MAL Rewrite]",TV,26,Finished Airing,"Apr 2, 2010 to Sep 24, 2010",Spring 2010,Fridays at 01:55 (JST),"Geneon Universal Entertainment, TBS, Hakusensha, Half H.P Studio",Sentai Filmworks,J.C.Staff,Manga,"Comedy, Romance",Shoujo,24 min. per ep.,PG-13 - Teens 13 or older,7.99,7742.0,#113,"1,342,230","23,842"
Kidou Senshi Gundam Thunderbolt,https://myanimelist.net/anime/31973/Kidou_Senshi_Gundam_Thunderbolt,https://cdn.myanimelist.net/images/anime/3/77176.jpg,"In Universal Century 0079, forces of the Earth Federation and Principality of Zeon engage in a battle within the Thunderbolt Sector during the One Year War. This section of space—known for its constant strikes of electricity—proves to be a deadly battlefield, as Federation pilot Io Fleming leads a charge against Zeon's ace Daryl Lorenz and his squad of snipers. With the fighters on both sides proving to be formidable soldiers, neither side is willing to back down, fighting strategically amongst the remnants of colonies. But when Io gets a hold of a prototype Gundam, Daryl will have to make a sacrifice in order to obtain enough power to crush his enemy and ensure that Zeon is victorious, or watch as his comrades are slaughtered by a single man. [Written by MAL Rewrite]",ONA,4,Finished Airing,"Dec 25, 2015 to Apr 22, 2016",,,,,Sunrise,Manga,"Drama, Sci-Fi",Seinen,18 min. per ep.,R - 17+ (violence & profanity),7.99,7752.0,#3116,"65,312",476
Les Misérables: Shoujo Cosette,https://myanimelist.net/anime/1695/Les_Misérables__Shoujo_Cosette,https://cdn.myanimelist.net/images/anime/1479/154965.jpg,"In 19th century France, a struggling single mother, Fantine, leaves her three-year-old daughter Cosette in the care of her new acquaintances, the Thernadiers. Unfortunately, Cosette's caretakers prove to be anything but loving, and the poor girl is subjected to repeated abuse and forced servitude. Still, she endures the torment in the hopes of seeing her mother once again. One night, while doing errands for her host family, Cosette is assisted by an honorable stranger named Jean Valjean. After a brief conversation with the young girl, Jean acknowledges her as the type of person he has been seeking and rescues her from the clutches of the Thernadiers. They make their way to a nearby town where Cosette enjoys a new life thanks to her savior. Under Jean's guidance, Cosette promises to help others with her newfound freedom. She pledges to heal the nation, ensuring that no one else suffers her fate. Though the road ahead is paved with tragedies left by the French Revolution, this idealistic girl will not rest until France is freed from poverty and suffering. [Written by MAL Rewrite]",TV,52,Finished Airing,"Jan 7, 2007 to Dec 30, 2007",Winter 2007,Sundays at 19:30 (JST),,,Nippon Animation,Novel,,,24 min. per ep.,G - All Ages,7.99,7762.0,#4389,"34,959",318
Macross F Movie 2: Sayonara no Tsubasa,https://myanimelist.net/anime/7222/Macross_F_Movie_2__Sayonara_no_Tsubasa,https://cdn.myanimelist.net/images/anime/13/76398.jpg,Second Macross Frontier movie.,Movie,1,Finished Airing,"Feb 26, 2011",,,"Bandai Visual, Big West, KlockWorx, Bandai Namco Games",,Satelight,Original,"Award Winning, Romance, Sci-Fi",,1 hr. 54 min.,PG-13 - Teens 13 or older,7.99,7772.0,#4679,"30,353",141
